script_id,imdb_id,title,year,gross (inflation-adjusted),link
1534,tt1022603,(500) Days of Summer,2009,37,http://www.imsdb.com/Movie Scripts/500 Days of Summer Script.html
1512,tt0147800,10 Things I Hate About You,1999,65,http://www.imsdb.com/Movie Scripts/10 Things I Hate About You Script.html
1514,tt0417385,12 and Holding,2005,,http://www.imsdb.com/Movie Scripts/12 and Holding Script.html
1517,tt2024544,12 Years a Slave,2013,60,http://www.imsdb.com/Movie Scripts/12 Years a Slave Script.html
1520,tt1542344,127 Hours,2010,20,http://www.imsdb.com/Movie Scripts/127 Hours Script.html
6537,tt0450385,1408,2007,91,1408.pdf
3778,tt0103594,1492: Conquest of Paradise,1992,15,http://www.angelfire.com/movies/ridleyscott/script/1492-ConquestOfParadise.txt
623,tt0179626,15 Minutes,2001,37,film_20100519/all_imsdb_05_19_10/15-Minutes.html
1525,tt0974661,17 Again,2009,74,http://www.imsdb.com/Movie Scripts/17 Again Script.html
6030,tt1272878,2 Guns,2013,80,https://wikileaks.org/sony/docs/03_03/Mktrsch/Market%20Research/Scripts/Released/2%20Guns%20%2820090915%29.pdf
625,tt0062622,2001: A Space Odyssey,1968,376,film_20100519/all_imsdb_05_19_10/2001-A-Space-Odyssey.html
1509,tt1190080,2012,2009,192,http://www.imsdb.com/Movie Scripts/2012 Script.html
8543,tt0478087,21,2008,98,21(2008)[SCAN][2nd](3.10.04)118pp.pdf
7834,tt2294449,22 Jump Street,2014,204,22 JUMP STREET (2014) by Oren Uziel [2013.04.23] [Digital].pdf
630,tt0307901,25th Hour,2002,19,film_20100519/all_imsdb_05_19_10/25th-Hour.html
3784,tt0191754,28 Days,2000,59,http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-28_Days.pdf
6360,tt0289043,28 Days Later...,2002,67,28_DAYS_LATER_2002__undated_Alex_Garland.pdf
7597,tt0463854,28 Weeks Later,2007,36,28 WEEKS LATER (2007) - 2006.06.16 draft.pdf
8209,tt2172934,3 Days to Kill,2014,32,Three Days To Kill (2014) [Undated] [Digital].pdf
1408,tt0094137,3 Men and a Baby,1987,373,film_20100519/all_imsdb_05_19_10/Three-Men-and-a-Baby.html
7678,tt0075612,3 Women,1977,,three women-treatment.pdf
8671,tt0389722,30 Days of Night,2007,50,http://indiegroundfilms.files.wordpress.com/2013/08/30-days-of-night-jul22-06-numbered-production-polish.pdf
1530,tt1622547,30 Minutes or Less,2011,40,http://www.imsdb.com/Movie Scripts/30 Minutes or Less Script.html
7770,tt0416449,300,2006,280,300 [Michael Gordon] [07.09.05] [Scan].pdf
3789,tt0381849,3:10 to Yuma,2007,67,http://www.screenplaydb.com/film/download/310toyuma20070123/
1502,tt0453562,42,2013,101,http://www.imsdb.com/Movie Scripts/42 Script.html
1532,tt0083511,48 Hrs.,1982,224,http://www.imsdb.com/Movie Scripts/48 Hrs. Script.html
3770,tt1306980,50/50,2011,38,http://www-deadline-com.vimg.net/wp-content/uploads/2011/12/50-50_FINAL_Shooting_Draft_12-1-11__111215013022.pdf
1537,tt0134273,8MM,1999,62,http://www.imsdb.com/Movie Scripts/8MM Script.html
5820,tt0268978,A Beautiful Mind,2001,262,https://www.dropbox.com/sh/jpxh25l44yke4np/AAAAQzGJlSqUNl-dkPc3TPPra/BEAUTIFUL%20MIND%2C%20A%20%282001%29%20by%20Akiva%20Goldsman%20%282000.08.11%29.pdf?dl=0
6574,tt0120633,A Civil Action,1998,105,A CIVIL ACTION.pdf
4022,tt0066921,A Clockwork Orange,1971,,http://www.horrorlair.com/scripts/clockwork_orange.html
2190,tt0097243,A Dry White Season,1989,8,"http://www.imsdb.com/Movie Scripts/Dry White Season, A Script.html"
1538,tt0104257,A Few Good Men,1992,295,http://www.imsdb.com/Movie Scripts/A Few Good Men Script.html
8880,tt0401445,A Good Year,2006,9,http://indiegroundfilms.files.wordpress.com/2014/01/good-year-a-apr29-05.pdf
8007,tt0399146,A History of Violence,2005,42,"HISTORY OF VIOLENCE, A by Josh Olson (2003-07-18) [scan].pdf"
7931,tt0266465,A Man Apart,2003,37,"man apart, a.pdf"
5368,tt2937898,A Most Violent Year,2014,6,http://gointothestory.blcklst.com/wp-content/uploads/2014/12/A-Most-Violent-Year.pdf
8057,tt1972571,A Most Wanted Man,2014,18,A Most Wanted Man .pdf
5342,tt0120770,A Night at the Roxbury,1998,56,http://www.awesomefilm.comscript/roxt.txt
1196,tt0087800,A Nightmare on Elm Street,1984,68,"film_20100519/all_imsdb_05_19_10/Nightmare-on-Elm-Street,-A.html"
